Measure Mode: wall_time
Thread ID: 70260376312800
Fiber ID: 70260376849000
Total: 293.011880
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.001     0.001     0.000     0.000      379   ProgressBar#format_time
  0.00      0.005     0.001     0.000     0.004      379   ProgressBar#shell_command_exists?
  0.00      0.001     0.001     0.000     0.000      379   ProgressBar#fmt_title
  0.00      0.000     0.000     0.000     0.000      758   ProgressBar#do_percentage
  0.00      0.000     0.000     0.000     0.000      379   IO#print
  0.00      0.004     0.000     0.000     0.004      379   Enumerable#any?
  0.00      0.017     0.000     0.000     0.017      379   ProgressBar#fmt_stat
  0.00      0.000     0.000     0.000     0.000      379   ProgressBar#fmt_percentage
  0.00      0.000     0.000     0.000     0.000      758   <Object::Object>#[]
  0.00      0.000     0.000     0.000     0.000      379   Float#*
  0.00      0.000     0.000     0.000     0.000      379   Float#/
  0.00      0.000     0.000     0.000     0.000  1999999   Rack::Lint::InputWrapper#initialize
  0.00      0.000     0.000     0.000     0.000      379   Float#to_i
  0.00      0.000     0.000     0.000     0.000  2000279   Fixnum#fdiv
  0.00      0.000     0.000     0.000     0.000  2000279   Fixnum#-
  0.00      0.000     0.000     0.000     0.000      758   String#*
  0.00      0.000     0.000     0.000     0.000  2000655   Fixnum#+
  0.00      0.000     0.000     0.000     0.000      379   Kernel#=~
  0.00      0.000     0.000     0.000     0.000      758   IO#tty?
  0.00      0.000     0.000     0.000     0.000  1999900   Float#>=
  0.00      0.000     0.000     0.000     0.000      379   String#[]
  0.00      0.000     0.000     0.000     0.000     3790   <Class::File>#join
  0.00      0.000     0.000     0.000     0.000     3790   <Class::File>#exists?
  0.00      0.000     0.000     0.000     0.000      379   Kernel#`
  0.00      0.000     0.000     0.000     0.000      379   String#scan
  0.00      0.000     0.000     0.000     0.000      758   String#to_i
  0.00      0.000     0.000     0.000     0.000      379   ProgressBar#eol
  0.00      0.000     0.000     0.000     0.000     1516   Symbol#to_s
  0.00      0.000     0.000     0.000     0.000      379   IO#write
  0.00      0.000     0.000     0.000     0.000      379   IO#flush
  0.00      0.000     0.000     0.000     0.000  2000758   Fixnum#zero?
  0.00      0.000     0.000     0.000     0.000        1   Profiler#finish

* indicates recursively called methods
